date,rank,code,name,gap,gapEstimated,pullbackPct,entryTime,entryPrice,volRatio,amountRatio,timeBucket,mfePct,mfeTime,maePct,maeTime,fwd1mPct,fwd3mPct,fwd5mPct,fwd10mPct,exitTime,exitPrice,reason,pnl
2026-09-22,15,353200,대덕전자,6.899902818270176,False,0.5123825789923143,907,118100.0,2.736908348907281,2.7744967897506427,09:03~09:10,0.3386960203217715,910,-2.5402201524132084,922,-0.42337002540220325,0.3386960203217715,-0.7620660457239636,-0.7620660457239636,915,116900.0,stop,-1.2660880609652811
2026-09-22,16,0193T0,KODEX SK하이닉스단일종목레버리지,4.182350480970309,False,0.5102040816326531,910,12795.0,1.4173633664184198,1.4265767218381709,09:03~09:10,0.11723329425556983,911,-1.1723329425556872,925,0.11723329425556983,-0.27354435326298887,-0.4689331770222793,-0.4689331770222793,924,12650.0,stop,-1.383255177803827
2026-09-22,20,222800,심텍,5.319148936170204,False,0.3364737550471063,907,148700.0,1.5095544939451173,1.5156701772426666,09:03~09:10,2.958977807666452,913,0.0,907,1.008742434431742,2.521856086079355,2.958977807666452,1.5467383994619999,909,151900.0,take_profit,1.901983860121054
2026-09-22,38,487240,KODEX AI전력핵심설비,2.1027092600080843,False,0.3268828451882845,910,38265.0,2.3620962634578846,2.371392195230643,09:03~09:10,1.319743891284464,918,0.0,910,0.20906833921336965,0.5749379328368054,0.5618711616359517,0.8754736704560395,930,38487.0,time_exit,0.33016464131713796
2026-09-22,42,011070,LG이노텍,2.4761904761904763,False,0.3629764065335753,909,555500.0,3.6736842105263157,3.7171795609241682,09:03~09:10,0.4500450045004545,913,-1.3501350135013523,924,-0.27002700270026825,-0.09000900090009312,0.36003600360035026,-0.09000900090009312,924,548000.0,stop,-1.6001350135013523
2026-09-22,78,006800,미래에셋증권,2.0312499999999956,False,0.44510385756676557,912,33950.0,4.662805594106971,4.718397911175311,09:11~09:20,2.2091310751104487,923,-0.14727540500736325,914,0.44182621502208974,0.14727540500736325,0.8836524300441795,1.767304860088359,921,34600.0,take_profit,1.6645802650957222
2026-09-22,99,440110,파두,3.8167938931297662,False,0.8534850640113799,916,71700.0,4.579211345555171,4.710609088612708,09:11~09:20,0.0,916,-3.0683403068340276,920,-1.673640167364021,-1.8131101813110173,-2.3709902370990243,-2.789400278940024,917,70500.0,stop,-1.923640167364021
2026-09-23,7,005935,삼성전자우,2.117647058823535,False,0.684931506849315,929,219750.0,4.592728414027785,4.630243796968471,09:21~09:30,0.11376564277587597,930,0.0,929,0.11376564277587597,,,,930,220000.0,time_exit,-0.13623435722412403
2026-09-23,13,240810,원익IPS,2.452107279693494,False,0.7790368271954674,925,142600.0,2.339013259161243,2.3889868452592435,09:21~09:30,0.7713884992987419,926,-0.14025245441795509,930,0.7713884992987419,0.07012622720896644,-0.14025245441795509,,930,142400.0,time_exit,-0.3902524544179551
2026-09-23,15,233740,KODEX 코스닥150레버리지,2.0664206642066363,False,0.42887776983559683,925,7015.0,2.1358628615587336,2.1456088399040603,09:21~09:30,0.07127583749109156,926,-0.3563791874554578,929,0.07127583749109156,-0.2138275124732747,-0.2138275124732747,,930,7000.0,time_exit,-0.4638275124732747
2026-09-23,44,010060,OCI홀딩스,3.5600425079702402,False,0.7444168734491315,909,202500.0,1.6795335745878568,1.7005277442702051,09:03~09:10,1.7283950617283939,917,-1.1111111111111072,911,-0.987654320987652,-0.7407407407407418,0.24691358024691024,1.4814814814814836,911,200250.0,stop,-1.3611111111111072
2026-09-23,62,403870,HPSP,2.0332717190388205,False,0.7168458781362007,927,55900.0,2.49146996961907,2.513956160680614,09:21~09:30,0.0,927,-0.7155635062611854,929,0.0,-0.7155635062611854,,,930,55500.0,time_exit,-0.9655635062611854
